title,abstract,authors,journal,year,doi,openalex_id,source_db,alignment_score,alignment_level,matched_core_terms,matched_title_core_terms,matched_availability_terms,matched_title_availability_terms,matched_themes,theme_count,project_driver_theme_count,availability_driver_theme_count,skip_terms
Salinity and food security in southwest coastal Bangladesh: impacts on household food production and strategies for adaptation,"Abstract The rising salinity of land and water is an important, but understudied, climate change-sensitive trend that can exert devastating impacts on food security. This mixed methods investigation combines salinity testing with qualitative research methods to explore these impacts in one of the most salinity-affected regions in the world—the Ganges River Delta. Data collection in 2015 and 2016 undertaken in Bangladesh’s southwest coastal region and Dhaka consisted of 83 in-depth household and stakeholder interviews, six community focus groups, and salinity testing of 27 soil and 45 surface and groundwater samples. Results show that household food production is a multifaceted cornerstone of rural livelihood in the southwest coastal region, and virtually every component of it—from rice plantation and homestead gardening to livestock cultivation and aquaculture—is being negatively affected by salinity. Although households have attempted multiple strategies for adapting food production, effective adaptation remains elusive. At the community level, improved irrigation and floodplain management, as well as restrictions on saltwater aquaculture to abate salinity, are viewed as promising interventions. However, the potential of such measures remains unrealized on a broad scale, as they require a level of external resources and regulation not yet provided by the NGO and government sectors. This study elucidates issues of accessibility, equity, and governance surrounding agricultural interventions for climate change-related salinity adaptation, and its findings can help inform the community of organizations that will increasingly need to grapple with salinity in order to guarantee food security in the context of environmental change.",Yukyan Lam; Peter J. Winch; Fosiul Alam Nizame,Food Security,2021,10.1007/s12571-021-01177-5,https://openalex.org/W3189337415,OpenAlex,18,strict,food security,food security,food production,food production,climate_environment; governance_institutions; production_yield_cereals,3,2,1,
DEVELOPING FINTECH AND ISLAMIC FINANCE PRODUCTS IN AGRICULTURAL VALUE CHAIN,"To meet the global population needs, it is projected to at least eighty billion dollars in investment per year to support the food security until 2050. It is widely known that the agriculture financing growth has stalled due to many reasons. Islamic finance has potential to spur the growth of agriculture financing to promote global food security. Meanwhile, agriculture in Indonesia is still nowhere to its potential. It is hindered by an inefficient and underdeveloped downstream segment, low access to financial and technology. This is a huge opportunity for Islamic finance in helping to bridge the gap through value chain finance approach as one of the strategies to reduce risk and give socio-economic spill-over effect along the chain. Islamic finance can promote agricultures sustainability and a more efficient process with FinTech enabled platform. The multiple case study proposes a sharia compliant community-based financing model in agricultural value chain practice with FinTech enabled platform. The result is this model integrating all actors from different market segmentation (landowners, suppliers, farmers, brokers, retailers, investor) into an Islamic value chain financing platform. However, determining buying intention, partnership establishment, and technology infrastructure are pivotal for its future implementation.",R. Gratiyana Ningrat; Mohamad Soleh Nurzaman,Journal of Islamic Monetary Economics and Finance,2019,10.21098/jimf.v5i3.1077,https://openalex.org/W3002625492,OpenAlex,18,strict,food security,,value chain,value chain,financial_access; smallholder_agriculture; value_chain_market_access,3,3,1,
Strategies to Reduce Post-Harvest Losses for Fruits and Vegetables,"Post-harvest loss is one of the concerns of food security and global hunger in many countries. The extent of fruit and vegetable loss reaches up to 50 % thus, reducing fruit and vegetable loss and waste is the one of the leading issue for providing sustainably feeding the world’s population in the future. Major causes of post-harvest losses in fruit and vegetable occur during harvesting, post-harvest handling and storage, processing stages, distribution and consumption. Therefore, the use of appropriate post-harvest handling, packaging, transportation and storage practices is very important to minimize the amount of post-harvest loss. This paper provides a review which includes causes of postharvest losses of the fruit and vegetable and appropriate methods to minimize these losses. Keywords : post-harvest, fruit, vegetable, loss DOI : 10.7176/JSTR/5-3-04",Aysel Elik; Derya Koçak Yanık; Yıldıray Istanbullu,International Journal of Scientific and Technological Research,2019,10.7176/jstr/5-3-04,https://openalex.org/W2941977391,OpenAlex,18,strict,food security; hunger,,post-harvest loss; post-harvest losses; postharvest losses,post-harvest losses,post_harvest_loss; value_chain_market_access,2,2,2,
"Stunting, food security, markets and food policy in Rwanda","BACKGROUND: Over the past two decades, Rwanda has experienced impressive economic growth, resulting in considerable improvements in living standards and poverty reduction. Despite these gains, progress on reducing the level of stunting in smallholder rural children, particularly boys, continues to be a serious concern. METHODS: Policies, dietary diversity and socio-economic factors that may influence stunting in rural Rwandan children were evaluated using a logit model with clustered variance-covariance estimators based on village membership of the household. RESULTS: Stunting of rural children was found to be multidimensionally related to the child's gender, weight and age; the dietary diversity, marriage status and education level of the head of household; mother's height; presence of a family garden or if they owned livestock; environmental factors such as altitude and soil fertility and location relative to a main road en route to a market; and a policy that promoted food production. CONCLUSIONS: Findings suggest that agricultural policies may be subsidizing poor dietary behavior in that the aggregation of production encourages households to sell high quality nutritious food such as fruit and vegetables, for more voluminous amounts of nutritionally substandard goods, hence low dietary diversity. However, it is less clear if rural food markets are capable of supplying diverse and nutritious foods at affordable prices on a consistent basis, resulting in a lack of diversity and hence, low nutrient quality diets. Rwanda's next round of food security policies should focus on nutrition insecurity with special emphasis on the lack of protein, micronutrients and calories. Multipronged policies and programs focused on income growth, food security, enhanced access to markets and gender-related nutrition risks from inception through 2 years of age in the rural areas are required to improve rural household health outcomes, stunting in particular.",Dave D. Weatherspoon; Stephen R. Miller; Jean Chrysostome Ngabitsinze,BMC Public Health,2019,10.1186/s12889-019-7208-0,https://openalex.org/W2954944474,OpenAlex,18,strict,food security,food security,food production,,gender_poverty_inclusion; governance_institutions; smallholder_agriculture,3,2,0,
Agricultural investments and hunger in Africa modeling potential contributions to SDG2 – Zero Hunger,"We use IFPRI's IMPACT framework of linked biophysical and structural economic models to examine developments in global agricultural production systems, climate change, and food security. Building on related work on how increased investment in agricultural research, resource management, and infrastructure can address the challenges of meeting future food demand, we explore the costs and implications of these investments for reducing hunger in Africa by 2030. This analysis is coupled with a new investment estimation model, based on the perpetual inventory methodology (PIM), which allows for a better assessment of the costs of achieving projected agricultural improvements. We find that climate change will continue to slow projected reductions in hunger in the coming decades-increasing the number of people at risk of hunger in 2030 by 16 million in Africa compared to a scenario without climate change. Investments to increase agricultural productivity can offset the adverse impacts of climate change and help reduce the share of people at risk of hunger in 2030 to five percent or less in Northern, Western, and Southern Africa, but the share is projected to remain at ten percent or more in Eastern and Central Africa. Investments in Africa to achieve these results are estimated to cost about 15 billion USD per year between 2015 and 2030, as part of a larger package of investments costing around 52 billion USD in developing countries.",Daniel Mason-D’Croz; Timothy B. Sulser; Keith Wiebe,World Development,2018,10.1016/j.worlddev.2018.12.006,https://openalex.org/W2906031947,OpenAlex,18,strict,food security; hunger,hunger,agricultural production,,climate_environment; production_yield_cereals,2,1,1,
An Overview of the Post-Harvest Grain Storage Practices of Smallholder Farmers in Developing Countries,"Grain storage loss is a major contributor to post-harvest losses and is one of the main causes of food insecurity for smallholder farmers in developing countries. Thus, the objective of this review is to assess the conventional and emerging grain storage practices for smallholder farmers in developing countries and highlight their most promising features and drawbacks. Smallholder farmers in developing countries use conventional grain storage structures and handling systems such as woven bags or cribs to store grain. However, they are ineffective against mold and insects already present in the grain before storage. Different chemicals are also mixed with grain to improve grain storability. Hermetic storage systems are effective alternatives for grain storage as they have minimal storage losses without using any chemicals. However, hermetic bags are prone to damage and hermetic metal silos are cost-prohibitive to most smallholder farmers in developing countries. Thus, an ideal grain storage system for smallholder farmers should be hermetically sealable, mechanically durable, and cost-effective compared to the conventional storage options. Such a storage system will help reduce grain storage losses, maintain grain quality and contribute to reducing food insecurity for smallholder farmers in developing countries.",Ashish Manandhar; Paschal Simon Milindi; Ajay Shah,Agriculture,2018,10.3390/agriculture8040057,https://openalex.org/W2796683712,OpenAlex,18,strict,food insecurity,,grain storage; post-harvest losses; storage loss,grain storage,post_harvest_loss; smallholder_agriculture,2,2,1,
"The Estimated Amount, Value, and Calories of Postharvest Food Losses at the Retail and Consumer Levels in the United States","This report provides the latest estimates by USDA’s Economic Research Service (ERS) on the amount and value of food loss in the United States. These estimates are for more than 200 individual foods using ERS’s Loss-Adjusted Food Availability data. In 2010, an estimated 31 percent or 133 billion pounds of the 430 billion pounds of food produced was not available for human consumption at the retail and consumer levels. This amount of loss totaled an estimated $161.6 billion, as purchased at retail prices. For the first time, ERS estimates of the calories associated with food loss are presented in this report. An estimated 141 trillion calories per year, or 1,249 calories per capita per day, in the food supply in 2010 went uneaten. The top three food groups in terms of share of total value of food loss are meat, poultry, and fish (30 percent); vegetables (19 percent); and dairy products (17 percent). The report also provides a brief discussion of the economic issues behind postharvest food loss.",Jean C. Buzby; Hodan Farah-Wells; Jeffrey Hyman,"AgEcon Search (University of Minnesota, USA)",2014,10.22004/ag.econ.164262,https://openalex.org/W2154395974,OpenAlex,18,strict,food availability; food supply,,food availability; food loss; food losses; food supply,food losses,post_harvest_loss,1,1,1,
Food Insecurity in Nigeria: Way Forward,"Food security is indispensable prerequisite for the survival of mankind and his economic activities including food production. Food is different from other commodities because of its inevitability for survival and existence. In Nigeria, there is high level of food insecurity for the past four decades as a result of neglect in food production when oil has become the major export product and the because of the adoption of neo-liberal economic policies such as devaluation of naira, trade liberalization and withdrawal of government from economic activities, ethnic and religious conflicts; disasters, such as flooding and drought have also contributed to food insecurity in Nigeria. Food is different from other commodities because everybody needs it for survival, and it is an indispensable factor in nation’s quest for economic growth and development. Unfortunately, most of the food need in Nigeria is produced by peasant farmers who lack capital, skills, energy and other viable ingredients to produce on large quantity that will meet the requirement of the growing population. Thus food insecurity in Nigeria is a recurrent and double digit problem. The paper however proffers workable solution to these problems.",IJ Otaha,African Research Review,2013,10.4314/afrrev.v7i4.2,https://openalex.org/W1966138919,OpenAlex,18,strict,food insecurity; food security,food insecurity,food production,,climate_environment; smallholder_agriculture,2,2,0,
Farmers′ use of climate change adaptation strategies and their impacts on food security in Kenya,"Climate change threatens the sustainability of food production among farmers in Kenya who depend on rain-fed agriculture. To minimize the negative impacts of climate change, farmers have sought to adopt different adaptation strategies. This study investigates factors influencing farmers' choice of climate change adaptation strategies and associated effects on their food security in Kenya using data collected from 540 farmers from six counties. A multivariate probit, censored least absolute deviation (CLAD), and propensity score matching (PSM) models were employed to identify the determinants in the farmers' choice of climate change adaptation strategies, the number of adaptation strategies adopted, and the effect of climate change adaptation strategies on their food security, respectively. Results show that planting drought-tolerant crop varieties (55%), growing diversified crops (34%), growing early maturing crops (22%), and diversifying the sources of household income (18%) were the four major adaptation strategies used by the farmers in the study area. Younger farmers and those with higher education levels are more likely to use these climate change adaptation practices. The number of adaptation strategies used was positively associated with male farmers, education level, family size, land size, farm income, extension contact, training, and information access. The farmers who adopt one adaptation strategy have higher food security status (approximately 7-11%) than those who do not. If they adopt two adaptation strategies, their food security status increases by approximately 11-14%; if they adopt three adaptation strategies, their food security status increases by nearly 12-15%; and if they adopt four adaptation practices, their food security status increases by about 14-18%, compared to those who do not adopt any strategy. Thus, the farmers' climate change adaptation practices have positive food security effects in Kenya according to the number of adaptation strategies adopted.",Girma Gezimu Gebre; Yuichiro Amekawa; Asmiro Abeje Fikadu,Climate Risk Management,2023,10.1016/j.crm.2023.100495,https://openalex.org/W4323073369,OpenAlex,17,strict,food security,food security,food production,,climate_environment; smallholder_agriculture,2,2,0,
Quantifying the impact of Russia–Ukraine crisis on food security and trade pattern: evidence from a structural general equilibrium trade model,"Purpose Considering the importance of Russia and Ukraine in agriculture, the authors quantify the potential impact of the Russia–Ukraine conflict on food output, trade, prices and food security for the world. Design/methodology/approach The authors mainly use the quantitative and structural multi-country and multi-sector general equilibrium trade model to analyze the potential impacts of the conflict on the global food trade pattern and security. Findings First, the authors found that the conflict would lead to soaring agricultural prices, decreasing trade volume and severe food insecurity especially for countries that rely heavily on grain imports from Ukraine and Russia, such as Egypt and Turkey. Second, major production countries such as the United States and Canada may even benefit from the conflict. Third, restrictions on upstream energy and fertilizer will amplify the negative effects of food insecurity. Originality/value This study analyzed the effect of Russia–Ukraine conflict on global food security based on sector linkages and the quantitative general equilibrium trade framework. With a clearer demonstration of the influence about the inherent mechanism based on fewer parameters compared with traditional Global Trade Analysis Project (GTAP) models, the authors showed integrated impacts of the conflict on food output, trade, prices and welfare across sectors and countries.",Fan Feng; Ningyuan Jia; Faqin Lin,China Agricultural Economic Review,2023,10.1108/caer-07-2022-0156,https://openalex.org/W4313430432,OpenAlex,17,strict,food insecurity; food security,food security,food output,,production_yield_cereals,1,0,1,
Post-harvest Management and Value Addition of Food Crops,"The ultimate purpose of post-harvest management systems is to reduce agricultural waste or loss. In the current circumstances of expanding population and diminishing agricultural land and other resources, post-harvest management has taken the central stage. Currently, the most pressing global concern is to secure food security in a way that is both sustainable and safe for humanity and the environment. According to the FAO, food production would need to increase by 70% by 2050 to feed the world’s population of 9 billion people. As a result, a thorough understanding of agro-ecosystem functions is required. The production of agricultural crops has increased manifold during the recent years, but the development and adoption of post-harvest technology are lacking and resulting in huge post-harvest losses. Every year, there is 16–36% post-harvest losses in fruit crops by mechanical, microbial, and physiological losses. Horticultural product, which is very perishable, requires significantly greater attention and tactics to guarantee that processing and value addition are promoted. To promote food safety and strengthen national food security, the value chain for processing has become a need. Pre-harvest factors, harvesting, market preparation (pre-cooling, sorting, grading, packaging, and on-farm storage), transportation, storage, value addition/processing, and by-product waste management are all part of the value chain in horticulture crop post-harvest management. The chapter discusses about the recent development in post-harvest technologies and value addition of food crops with major emphasis on fruit, vegetable, and cereal crops. © The Editor(s) (if applicable) and The Author(s), under exclusive license to Springer Nature Switzerland AG 2022.",Naik H.R.; Amin T.; Mahdi S.S.,Secondary Agriculture: Sustainability and Livelihood in India,2022,10.1007/978-3-031-09218-3_11,,Scopus,17,strict,food security,,food production; post-harvest losses; value chain,,post_harvest_loss; production_yield_cereals; value_chain_market_access,3,2,3,
Cash crops and food security: evidence from smallholder cocoa and cashew farmers in Ghana,"Abstract Background Food security is a major development concern worldwide. The use of arable lands to grow cash crops raises additional concerns, yet empirical evidence on the relationship between cash cropping and food security remains inconclusive. Using survey data from 408 randomly sampled households, this paper assesses the income and food security implications of reviving cocoa farming in the Forest-Savannah Transition Zone of Ghana. In addition, the paper examines the influence of socioeconomic factors and diversification into cashew on the food security of cocoa households. Data was collected from 12 rural communities, where food crop production was the main source of livelihood. A causal-comparative design was used. Food security was measured using the USDA Food Security Core Module. Results Contrary to the literature that cash crops undermine food security, findings indicate a positive relationship between cocoa farming, household crop income and food security, highlighting complementarities between cocoa, food crop and cashew production. Although income from cocoa alone was not sufficient enough to guarantee food security, it enhanced the financial ability of farmers to diversify into cashew and expand food crop production. This minimised market dependency for food staples, enhanced annual crop income, and ensured a continuous flow of income. Overall, the food security advantage of cocoa farming was predicted by diversification into cashew, displacement of food crops using cocoa, socioeconomic factors, such as land ownership, livestock ownership, and formal education; and marginally by total annual crop income. Conclusions Income from cocoa alone is not high enough and widely distributed to guarantee food security. Reinvesting the returns from cocoa in cashew and food crops seems to be a more reliable pathway to enhancing food security than merely depending on the income to buy food. A semi-subsistence system that ensures optimum combination of cash and food crops is, therefore, recommended, but this may require sufficient access to land.",Ishmael Hashmiu; Olivia Agbenyega; Evans Dawoe,Agriculture & Food Security,2022,10.1186/s40066-022-00355-8,https://openalex.org/W4211186670,OpenAlex,17,strict,food security,food security,crop production,,empirical_methods; smallholder_agriculture,2,1,0,
Food Security and the Dynamics of Wheat and Maize Value Chains in Africa and Asia,"There is an ongoing debate about how best to feed the growing world population in the long run and associated implications for research and development. Some call for a new Green Revolution to secure the supply of staple foods, whereas others emphasize the importance of diversifying and improving people's diets. We aim to contribute to this debate by reviewing the case of wheat and maize value chains and their contribution to food security in Africa and Asia. We first identify drivers transforming food systems. We then apply these to the cereal value chains and disentangle their effects on food security. We thereby add to the three strands in the literature around production, consumption, and food system transformation and point to different research needs and recommendations for the future. The review highlights: (1) Wheat and maize production will be increasingly impaired by ecological drivers such as land degradation, water scarcity and climate change. (2) There are promising innovations to increase and maintain productivity, but constraints in adopting these innovations have to be overcome (i.e., access to seeds, finance, and education/training). (3) The drivers affect all four dimensions of food security, but first and foremost they determine the availability and stability of maize and wheat. This indirectly also influences the economic and physical access of people to maize and wheat. (4) Research tends to focus on improving the productivity and sustainability of wheat and maize farming which is largely interlinked with the availability dimension of food security. (5) The stability and utilization dimension of food security merits continued yet increased support. First, to address climate change and implications for biotic and abiotic stresses. Second, to promote healthier diets and enable the equitable transformation of food systems.",Ulrike Grote; Anja Faße; Trung Thành Nguyễn,Frontiers in Sustainable Food Systems,2021,10.3389/fsufs.2020.617009,https://openalex.org/W3127209611,OpenAlex,17,strict,food security,food security,food system; maize production,,climate_environment; production_yield_cereals,2,1,1,
Viewpoint: The case for a six-dimensional food security framework,"The definition of food security has evolved and changed over the past 50 years, including the introduction of the four commonly cited pillars of food security: availability, access, utilization, and stability, which have been important in shaping policy. In this article, we make the case that it is time for a formal update to our definition of food security to include two additional dimensions proposed by the High Level Panel of Experts on Food Security and Nutrition: agency and sustainability. We show that the impact of widening food system inequalities and growing awareness of the intricate connections between ecological systems and food systems highlight the importance of these additional dimensions to the concept. We further outline the ways in which international policy guidance on the right to food already implies both agency and sustainability alongside the more established four pillars, making it a logical next step to adopt a six dimensional framework for food security in both policy and scholarly settings. We also show that advances have already been made with respect to providing measurements of agency and sustainability as they relate to food insecurity.",Jennifer Clapp; William G. Moseley; Barbara Burlingame,Food Policy,2021,10.1016/j.foodpol.2021.102164,https://openalex.org/W3210188060,OpenAlex,17,strict,food insecurity; food security,food security,food system,,governance_institutions,1,1,0,
Reducing post-harvest losses in fruits and vegetables for ensuring food security – Case of Sri Lanka,"In Sri Lanka, 70% of 21 million population live in non-urban areas, and agriculture provides livelihood for approximately 40% of them. The agricultural marketing process in the country is a complex operation due to services and functions involved in moving a crop product from where it was produced to where it would finally be consumed. Further, with a wide range of agricultural crops being produced, post-harvest handling process create different degrees of quantitative and qualitative losses in a complex market chain, which are estimated at 20% to 40% for vegetables and 30% - 40% for fruits. Improper and non-scientific post-harvest practices and handling, gaps in integration of cold chain practices &amp; elements with post-harvest process, and lack of knowledge &amp; awareness on many related aspects at grass root farmer level etc. appear to contribute to losses that finally prevent due economic benefits reaching the small-scale producer. In order to increase the effectiveness of post-harvest process handling of fruit and vegetables, appropriate corrective measures targeting small scale producers as well as commercial scale producers need to be popularized and practiced. At small scale producer level, promotion of appropriate low-cost post-harvest practices and procedures, facilitating low-cost cold chain elements and user-friendly information flow mechanism on market situation would certainly help avoid some of the steps that lead to losses. Monitoring system of commercial post-harvest handling process that ensure scientific bulk handling, storage and transportation of fruit and vegetables, properly designed economic centers with well regulated environmentcontrolled storages etc. would greatly reduce loses in bulk handling, ensuring better food security in the island.",Leelananda Rajapaksha; DMC Champathi Gunathilake; SM Pathirana,MOJ Food Processing & Technology,2021,10.15406/mojfpt.2021.09.00255,https://openalex.org/W3127857865,OpenAlex,17,strict,food security,food security,cold chain; post-harvest losses,post-harvest losses,post_harvest_loss; smallholder_agriculture,2,2,1,
Assessment on post-harvest losses of tomato (Lycopersicon esculentem Mill.) in selected districts of East Shewa Zone of Ethiopia using a commodity system analysis methodology,"One of the main challenges facing Ethiopia today is to ensure food security for its rapidly growing population. Although Ethiopia's production is much lower than the national demand, there are high post-harvest food losses. In meeting a country's food demand, increasing production by itself is not enough unless what has been produced is properly managed. In line with this, extensive assessment of post-harvest losses of tomato along the supply chain and the associated factors were evaluated in four purposively selected districts of East Shewa Zone of Ethiopia. The assessment was made using Commodity System Assessment Methodology from ""farm-to-fork"" to investigate the status of post-harvest losses of tomato along the supply chain and the associated factors in the pursuit of recommending appropriate mitigation strategies. Information was gathered from a total of N = 408 sampled chain actors (producers to consumers) and related institutions. Results revealed that losses of tomato due to improper care and handling of the commodity regardless of its high production in the study area were common problems for all chain actors. A loss of 20.5%, 8.6%, 2.9%, and 7.3% at the producer, wholesalers, retailers, and hotel and café level was recorded respectively with a total loss of 39.3%. Total losses across districts ranged from 17.2-33.3. Field, transportation and market display were major critical loss points identified. Practices such as market fluctuation, lack of temperature management, no/poor sorting and mixed handling of the crop, carelessness on the loss prevention and its impact were identified among the common causes for observed losses. Therefore, creating awareness on the effect of all causes of food loss and minimizing economic loss is recommended. Moreover, affordable and appropriate technology adaptation is needed to reduce observed food losses across the districts.",Gezai Abera; Ali Mohammed Ibrahim; Sirawdink Fikreyesus Forsido,Heliyon,2020,10.1016/j.heliyon.2020.e03749,https://openalex.org/W3019139886,OpenAlex,17,strict,food security,,food loss; food losses; post-harvest losses; supply chain,post-harvest losses,governance_institutions; post_harvest_loss; value_chain_market_access,3,3,2,
Climate change has likely already affected global food production,"Crop yields are projected to decrease under future climate conditions, and recent research suggests that yields have already been impacted. However, current impacts on a diversity of crops subnationally and implications for food security remains unclear. Here, we constructed linear regression relationships using weather and reported crop data to assess the potential impact of observed climate change on the yields of the top ten global crops-barley, cassava, maize, oil palm, rapeseed, rice, sorghum, soybean, sugarcane and wheat at ~20,000 political units. We find that the impact of global climate change on yields of different crops from climate trends ranged from -13.4% (oil palm) to 3.5% (soybean). Our results show that impacts are mostly negative in Europe, Southern Africa and Australia but generally positive in Latin America. Impacts in Asia and Northern and Central America are mixed. This has likely led to ~1% average reduction (-3.5 X 1013 kcal/year) in consumable food calories in these ten crops. In nearly half of food insecure countries, estimated caloric availability decreased. Our results suggest that climate change has already affected global food production.",D. K. Ray; Paul West; Michael Clark,PLoS ONE,2019,10.1371/journal.pone.0217148,https://openalex.org/W2946891987,OpenAlex,17,strict,food security,,caloric availability; food production,food production,climate_environment; empirical_methods; production_yield_cereals,3,1,1,
"Soil Degradation, Land Scarcity and Food Security: Reviewing a Complex Challenge","Soil health, along with water supply, is the most valuable resource for humans, as human life depends on the soil’s generosity. Soil degradation, therefore, poses a threat to food security, as it reduces yield, forces farmers to use more inputs, and may eventually lead to soil abandonment. Unfortunately, the importance of preserving soil health appears to be overlooked by policy makers. In this paper, I first briefly introduce the present situation concerning agricultural production, natural resources, soil degradation, land use and the challenge ahead, to show how these issues are strictly interwoven. Then, I define soil degradation and present a review of its typologies and estimates at a global level. I discuss the importance of preserving soil capital, and its relationship to human civilization and food security. Trends concerning the availability of arable agricultural land, different scenarios, and their limitations, are analyzed and discussed. The possible relation between an increase in a country’s GNP, population and future availability of arable land is also analyzed, using the World Bank’s database. I argue that because of the many sources of uncertainty in the data, and the high risks at stake, a precautionary approach should be adopted when drawing scenarios. The paper ends with a discussion on the key role of preserving soil organic matter, and the need to adopt more sustainable agricultural practices. I also argue that both our relation with nature and natural resources and our lifestyle need to be reconsidered.",Tiziano Gomiero,Sustainability,2016,10.3390/su8030281,https://openalex.org/W2301599595,OpenAlex,17,strict,food security,food security,agricultural production,,governance_institutions; production_yield_cereals; smallholder_agriculture,3,2,1,
"Seasonal variation of food security among the Batwa of Kanungu, Uganda","OBJECTIVE: Climate change is projected to increase the burden of food insecurity (FI) globally, particularly among populations that depend on subsistence agriculture. The impacts of climate change will have disproportionate effects on populations with higher existing vulnerability. Indigenous people consistently experience higher levels of FI than their non-Indigenous counterparts and are more likely to be dependent upon land-based resources. The present study aimed to understand the sensitivity of the food system of an Indigenous African population, the Batwa of Kanungu District, Uganda, to seasonal variation. DESIGN: A concurrent, mixed methods (quantitative and qualitative) design was used. Six cross-sectional retrospective surveys, conducted between January 2013 and April 2014, provided quantitative data to examine the seasonal variation of self-reported household FI. This was complemented by qualitative data from focus group discussions and semi-structured interviews collected between June and August 2014. SETTING: Ten rural Indigenous communities in Kanungu District, Uganda. SUBJECTS: FI data were collected from 130 Indigenous Batwa Pygmy households. Qualitative methods involved Batwa community members, local key informants, health workers and governmental representatives. RESULTS: The dry season was associated with increased FI among the Batwa in the quantitative surveys and in the qualitative interviews. During the dry season, the majority of Batwa households reported greater difficulty in acquiring sufficient quantities and quality of food. However, the qualitative data indicated that the effect of seasonal variation on FI was modified by employment, wealth and community location. CONCLUSIONS: These findings highlight the role social factors play in mediating seasonal impacts on FI and support calls to treat climate associations with health outcomes as non-stationary and mediated by social sensitivity.",Kaitlin Patterson; Lea Berrang‐Ford; Shuaib Lwasa,Public Health Nutrition,2016,10.1017/s1368980016002494,https://openalex.org/W2519069165,OpenAlex,17,strict,food insecurity; food security,food security,food system,,climate_environment,1,1,0,
Environmental impacts and constraints associated with the production of major food crops in Sub-Saharan Africa and South Asia,"Many environmental factors constrain the production of major food crops in Sub-Saharan Africa and South Asia. At the same time, these food production systems themselves have a range of negative impacts on the environment. In this paper we review the published literature and assess the depth of recent research (since 2000) on crop x environment interactions for rice, maize, sorghum/millets, sweetpotato/yam and cassava in these two regions. We summarize current understandings of the environmental impacts of crop production systems prior to crop production, during production and post-production, and emphasize how those initial environmental impacts become new and more severe environmental constraints to crop yields. Pre-production environmental interactions relate to agricultural expansion or intensification, and include soil degradation and erosion, the loss of wild biodiversity, loss of food crop genetic diversity and climate change. Those during crop production include soil nutrient depletion, water depletion, soil and water contamination, and pest resistance/outbreaks and the emergence of new pests and diseases. Post-harvest environmental interactions relate to the effects of crop residue disposal, as well as crop storage and processing. We find the depth of recent publications on environmental impacts is very uneven across crops and regions. Most information is available for rice in South Asia and maize in Sub-Saharan Africa where these crops are widely grown and have large environmental impacts, often relating to soil nutrient and water management. Relatively few new studies have been reported for sorghum/millets, sweetpotato/yam or cassava, despite their importance for food security on large areas of marginal farmland in Sub-Saharan Africa – however, there is mounting evidence that even these low-input crops, once thought to be environmentally benign, are contributing to cycles of environmental degradation that threaten current and future food production. A concluding overview of the emerging range of published good practices for smallholder farmers highlights many opportunities to better manage crop x environment interactions and reduce environmental impacts from these crops in developing countries.",Travis Reynolds; S.R. Waddington; C. Leigh Anderson,Food Security,2015,10.1007/s12571-015-0478-1,https://openalex.org/W822333895,OpenAlex,17,strict,food security,,crop production; food production,,climate_environment; post_harvest_loss; production_yield_cereals; smallholder_agriculture,4,3,2,
Crops that feed the world 10. Past successes and future challenges to the role played by wheat in global food security,"Wheat is fundamental to human civilization and has played an outstanding role in feeding a hungry world and improving global food security. The crop contributes about 20 % of the total dietary calories and proteins worldwide. Food demand in the developing regions is growing by 1 % annually and varies from 170 kg in Central Asia to 27 kg in East and South Africa. The developing regions (including China and Central Asia) account for roughly 53 % of the total harvested area and 50 % of the production. Unprecedented productivity growth from the Green Revolution (GR) since the 1960s dramatically transformed world wheat production, benefitting both producers and consumers through low production costs and low food prices. Modern wheat varieties were adopted more rapidly than any other technological innovation in the history of agriculture, recently reaching about 90 % of the area in developing regions. One of the key challenges today is to replace these varieties with new ones for better sustainability. While the GR “spared” essential ecosystems from conversion to agriculture, it also generated its own environmental problems. Also productivity increase is now slow or static. Achieving the productivity gains needed to ensure food security will therefore require more than a repeat performance of the GR of the past. Future demand will need to be achieved through sustainable intensification that combines better crop resistance to diseases and pests, adaptation to warmer climates, and reduced use of water, fertilizer, labor and fuel. Meeting these challenges will require concerted efforts in research and innovation to develop and deploy viable solutions. Substantive investment will be required to realize sustainable productivity growth through better technologies and policy and institutional innovations that facilitate farmer adoption and adaptation. The enduring lessons from the GR and the recent efforts for sustainable intensification of cereal systems in South Asia and other regions provide useful insights for the future.",Bekele Shiferaw; Mélinda Smale; Hans‐Joachim Braun,Food Security,2013,10.1007/s12571-013-0263-y,https://openalex.org/W4210980530,OpenAlex,17,strict,food security,food security,wheat production,,governance_institutions; production_yield_cereals; smallholder_agriculture,3,2,1,
